번호,음식_링크,음식_이름,이미지_링크,원재료 및 원산지,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
41,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2051,채황,https://ottogi.co.kr/pds/product/2022-11-24_894670281[1].jpg,"면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),감자전분(외국산: 덴마크,프랑스,독일 등),글루텐,정제소금,조미마늘엑기스,이스트엑기스,야채추출물,면류첨가알칼리제(산도조절제),구아검,알긴산나트륨,셀룰로스검,비타민B2,녹차풍미유스프류:진한표고분말,정제소금,포도당,볶음야채분말,참맛조미분말,야채양념분말,볶음마늘분,간장분말,효모추출물,진한감칠맛분,향미증진제,후추분말,조미고추맛분말,건생강가루,참기름,청양고추추출분말,건양배추,건청경채,건표고버섯,건당근,건파,건고추입자*밀,대두 함유*계란,우유,쇠고기,돼지고기,닭고기,메밀,토마토,오징어,새우,게,고등어,조개류(굴,홍합 포함),땅콩 혼입가능",465,73,9,15
42,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2052,어린이 카레,https://ottogi.co.kr/pds/product/2021-04-06_417301485[35].jpg,"밀가루(밀:미국산/호주산), 덱스트린, 혼합식용유[팜올레인유(말레이시아산),팜스테아린유(말레이시아산)], 전분가공품(덴마크산:감자전분,덱스트린), 밀크칼슘, 카레분5%[강황(인도산),코리안더(모로코산),쿠민,훼누그릭,휀넬], 정제소금, 토마토분, 열대과일분, 분말유크림, 체다치즈파우더, 혼합야채엑기스분말, 혼합야채분말, 맛베이스, 사과분, 난각분말, 혼합제제[아라비아검,자당,옥수수전분,가공유지(팜유),이산화규소,비타민D,비타민E][밀, 대두, 토마토, 닭고기, 우유, 계란 함유]* 쇠고기, 돼지고기, 오징어, 새우, 조개류(굴 포함), 잣 혼입가능",100,14,2,3.9
43,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2053,북엇국라면,https://ottogi.co.kr/pds/product/2021-04-20_671245306[1].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),쌀가루(국산),글루텐,정제소금,야채풍미액,이스트엑기스,유화유지,면류첨가알칼리제(산도조절제),구아검,알긴산나트륨,셀룰로스검,비타민B₂,녹차풍미유*스프류:북어해장국분말(명태:러시아산),정제소금,포도당,혼합야채분,설탕,사골농축분말,참맛사골양념분말,유청혼합분말,식물성크림,감자전분,청양초양념분말,진한감칠맛분,조미고추맛분말,감칠맛베이스,고소한향미분말,우동풍미분,효모추출조미분말,후추분말,청양고추추출물분말,북어후레이크(명태:러시아산),건조무채,계란후레이크,건파,건조링고추후레이크-밀,대두,계란,우유,쇠고기,돼지고기,오징어,조개류(굴,홍합 포함) 함유-닭고기,메밀,토마토,새우,게,고등어,땅콩 혼입 가능",485,69,12,18
44,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2057,벨라티 허니레몬블랙티,https://ottogi.co.kr/pds/product/2020-02-18_319767389[3].png,"설탕, 정제수, 레몬당절임14%[레몬50%(미국산),설탕], 아카시아꿀3%(국산),홍차엑기스분말0.45%[홍차농축액90%(홍차:스리랑카산, 고형분32%)], 아미드펙틴, 구연산, 비타민C, 합성향료(홍차향,레몬향), 효소처리스테비아",70,18,0,0
45,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2058,벨라티 허니자몽블랙티,https://ottogi.co.kr/pds/product/2020-02-18_319767389[5].png,"정제수, 설탕, 자몽당절임20%[자몽50%(미국산),설탕], 기타과당, 아카시아꿀3%(국산),레드자몽농축액3%(이스라엘산, 고형분 10%), 홍차엑기스분말0.55%[홍차농축액90%(홍차:스리랑카산, 고형분32%)], 아미드펙틴, 구연산, 비타민C,합성향료(홍차향,자몽향), 효소처리스테비아",70,18,0,0
46,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2062,프레스코 양송이 크림스프(상온) 270G,https://ottogi.co.kr/pds/product/2022-01-06_778136396[1].jpg,"정제수, 우유(국산), 양송이(네덜란드산), 진한요리크림(프랑스산:유크림,유화제,변성전분,펙틴,카라기난), 식물성크림{이탈리아산:가공유지(팜핵경화유),소비톨액,분말셀룰로스,유청분말,결정셀룰로스}, 양파, 가공버터, 밀가루, 변성전분, 설탕, 덱스트린, 화이트와인, 치킨파우더, 조미분말1호, 정제소금, 버섯건조분말, 양파맛분말",220,15,4,16
47,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2063,프레스코 단호박 크림스프(상온) 270G,https://ottogi.co.kr/pds/product/2022-01-06_778136396[7].jpg,"정제수, 단호박페이스트[국산:단호박(중국산)60%,정제수,프락토올리고당], 우유(국산), 식물성크림[이탈리아산:가공유지(팜핵경화유),소비톨액,분말셀룰로스,유청분말,결정셀룰로스], 진한요리크림(프랑스산:유크림,유화제,변성전분,펙틴,카라기난), 변성전분, 양파, 가공버터, 설탕, 밀가루, 아카시아꿀, 치킨파우더, 정제소금, 난각분말, 카로틴, 향미증진제, 덱스트린",275,24,2,19
48,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2064,프레스코 콘크림스프(상온) 270G,https://ottogi.co.kr/pds/product/2022-01-06_778136396[5].jpg,"정제수, 우유(국산), 스위트콘(미국산:옥수수82.35%,설탕,정제소금), 진한요리크림(프랑스산:유크림,유화제,변성전분,펙틴,카라기난), 식물성크림[이탈리아산:가공유지(팜핵경화유),소비톨액,분말셀룰로스,유청분말,결정셀룰로스], 로스티드스위트콘파우더프리퍼레이션(뉴질랜드산), 양파, 변성전분, 설탕, 덱스트린, 가공버터, 밀가루, 치킨파우더, 양파맛분말, 정제소금, 강황추출액, 향미증진제, 합성향료(스위트콘)",275,30,5,15
49,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2065,프레스코 베이컨 감자스프(상온) 270G,https://ottogi.co.kr/pds/product/2022-01-06_778136396[3].jpg,"정제수, 우유(국산), 감자(미국산:감자,산도조절제), 진한요리크림(프랑스산:유크림,유화제,변성전분,펙틴,카라기난), 식물성크림[이탈리아산:가공유지(팜핵경화유),소비톨액,분말셀룰로스,유청분말,결정셀룰로스], 양파, 베이컨[돼지고기(외국산,삼겹살)93.34%], 가공버터, 밀가루, 변성전분, 설탕, 덱스트린, 대파, 마늘, 양파맛분말, 치킨파우더, 정제소금, 식물성분해단백, 베이컨시즈닝분말, 향미증진제, 백후추, 후추분",245,20,5,16
50,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2066,오즈키친 치즈스틱,https://ottogi.co.kr/pds/product/2022-04-26_980933916[19].jpg,"자연치즈(미국산:우유,변성전분,치즈컬쳐,정제소금,렌넷카제인),빵가루[밀가루(밀:외국산),포도당,쇼트닝{팜유(말레이시아산)},재제소금,대두분],정제수,곡류가공품[밀가루1{밀:미국산,호주산},밀가루2{밀:미국산,캐나다산},변성전분,마늘분말,토스티드오니언파우다],쇼트닝[고올레산해바라기유,해바라기유,d-토코페롤(혼합형),혼합제제(규소수지,폴리소르베이트65,소르비탄지방산에스테르,카복시메틸셀룰로스나트륨,정제수)],기타가공품[빵가루,밀가루]",310,23,12,19
51,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2067,오즈키친 치즈스틱 코코넛,https://ottogi.co.kr/pds/product/2022-04-26_980933916[23].jpg,"자연치즈(미국산:우유,변성전분,치즈컬쳐,정제소금,렌넷카제인),치즈스틱베터[건조코코넛미디움(베트남산),빵가루{밀가루(밀:외국산)}],정제수,곡류가공품[밀가루1{밀:미국산,호주산},밀가루2{밀:미국산,캐나다산},변성전분,마늘분말,토스티드오니언파우다],쇼트닝[고올레산해바라기유,해바라기유,d-토코페롤(혼합형),혼합제제(규소수지,폴리소르베이트65,소르비탄지방산에스테르,카복시메틸셀룰로스나트륨,정제수)],기타가공품(빵가루,밀가루)",365,19,11,27
52,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2070,오감포차 주꾸미볶음,https://ottogi.co.kr/pds/product/2022-04-26_980935806[19].jpg,"주꾸미 45.7%(태국산), 양배추(국산), 대파(국산), 양파, 당근, 양조간장, 카놀라유, 설탕, 고추장, 고춧가루1, 정제수, 주정, 마늘, 쇠고기다시, 고춧가루2, 양파맛분말, 후추분, 파프리카추출색소, 산도조절제1, 산도조절제2, 산도조절제3, 산도조절제4, 정제소금",220,25,10,9
53,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2071,X.O.슈마이 새우&소라,https://ottogi.co.kr/pds/product/2022-04-27_120929213[5].jpg,"돼지고기(국산),밀가루(밀:미국산,캐나다산,호주산),냉동흰다리새우살(베트남산:새우,정제소금,폴리인산나트륨),위소라(모리타니산),양배추,양파,연육,죽순,변성전분,두류가공품,참기름,마늘,향미유,설탕,복합조미식품,생강,새우추출분말,미향,혼합제제(폴리인산나트륨,메타인산칼륨),새우풍미유,정제소금,씨푸드XO소스,유화유지,후추분,향미증진제,육수추출농축액*돼지고기,밀,대두,새우,닭고기,조개류(소라,가리비) 함유",305,25,11,18
54,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2072,X.O.슈마이 고기,https://ottogi.co.kr/pds/product/2022-04-27_120929213[7].jpg,"돼기고기(국산),밀가루(밀:미국산,호주산),양파(국산),양배추,대파,송화버섯,죽순,청주,마늘,참기름,대두단백,설탕,향미유,육수추출물,씨푸드XO소스,생강,사골베이스,굴소스,혼합제제(폴리인산나트륨,메타인산나트륨),쇠고기맛양념분말 2호,정제소금,혼합지미분,진한감칠맛분말,유화유지,L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제),향미증진제],후추분*돼지고기,밀,대두,쇠고기,우유,새우,조개류(굴,가리비) 함유",295,18,13,19
55,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2073,맛있는 오뚜기 컵밥 불닭마요덮밥,https://ottogi.co.kr/pds/product/2023-02-02_301781936[12].jpg,"*맛있는 오뚜기 컵밥:쌀(국산), 산도조절제 *불닭소스:닭가슴살(국산), 양송이버섯(네덜란드산), 고추장[물엿,혼합양념(중국산), 소맥분(밀:미국산, 호주산),밀쌀,주정], 양조간장[양조간장원액, 염수, 주정, 올리고당, 스테비올배당체], 설탕, 파인애플농축액, 마늘, 정제수, 청양고추, 양파엑기스, 변성전분, 고춧가루, 치킨엑기스, 쇠고기다시, 정제소금, L-글루탐산나트륨(향미증진제), 향미증진제, 합성향료(숯불향), 파프리카추출색소, 후추분 *골드마요네스:식물성유지[외국산(아르헨티나,미국, 중국 등)], 정제수, 냉동난황(미국산:난황액,정제소금), 발효식초, 난백액(국산), 설탕, 난황액오티, 난황액에스, 정제소금, 식물성분해단백. 잔탄검, 향미유, 간장믹스, 이디티에이칼슘이나트륨(산화방지제) *밥친구야채:밥친구믹스[맛있는과립(정제소금:국산), 양파과립(양파:국산)], 당근후레이크[당근분말(당근:국산), 전분(옥수수:외국산), 밀가루, 난백분말, 정제소금], 계란후레이크[전란분(계란:덴마크산), 전분(옥수수:외국산), 밀가루, 난백분, 글리세린], 야채맛과립(뉴칼, 볶음참깨분말, 유당, 정제소금, 가루녹차), 시금치후레이크(시금치분말, 전분, 밀가루, 난백분말, 정제소금), 조미참깨(볶음참깨, 조미참깨용조미액), 참맛검은깨(검은깨, 정제소금, 설탕, 뉴칼, 식물성분해단백), 호박후레이크(단호박분말, 전분, 밀가루, 난백분말, 정제소금), 구운김후레이크, 김과립",470,69,12,16
56,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2074,맛있는 오뚜기 컵밥 참치마요덮밥,https://ottogi.co.kr/pds/product/2023-02-02_301781936[10].jpg,"*맛있는 오뚜기 컵밥:쌀(국산), 산도조절제 *참치소스:황다랑어(베트남산), 정제수, 양조간장[양조간장원액(탈지대두:인도산), 염수(천일염:호주산), 주정, 올리고당, 스테비올배당체], 설탕, 카놀라유(캐나다산), 사과농축액, 발효식초, 청주, 변성전분, 덱스트린, 표고버섯엑기스, 우스타소스, 생강엑기스, 양파엑기스, 청양고추, 쇠고기다시, L-글루탐산나트륨(향미증진제), 향미증진제, 마늘엑기스, 후추분, DL-알라닌 *골드마요네스:식물성유지[외국산(아르헨티나,미국, 중국 등)], 정제수, 냉동난황(미국산:난황액,정제소금), 발효식초, 난백액(국산), 설탕, 난황액오티, 난황액에스, 정제소금, 식물성분해단백. 잔탄검, 향미유, 간장믹스, 이디티에이칼슘이나트륨(산화방지제) *밥친구야채:밥친구믹스[맛있는과립(정제소금:국산), 양파과립(양파:국산)], 당근후레이크[당근분말(당근:국산), 전분(옥수수:외국산), 밀가루, 난백분말, 정제소금], 계란후레이크[전란분(계란:덴마크산), 전분(옥수수:외국산), 밀가루, 난백분, 글리세린], 야채맛과립(뉴칼, 볶음참깨분말, 유당, 정제소금, 가루녹차), 시금치후레이크(시금치분말, 전분, 밀가루, 난백분말, 정제소금), 조미참깨(볶음참깨, 조미참깨용조미액), 참맛검은깨(검은깨, 정제소금, 설탕, 뉴칼, 식물성분해단백), 호박후레이크(단호박분말, 전분, 밀가루, 난백분말, 정제소금), 구운김후레이크, 김과립",460,64,11,18
57,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2080,뚜기네 분식집 쌀떡볶이,https://ottogi.co.kr/pds/product/2020-03-18_82503302[1].jpg,"*떡볶이떡 - 쌀가루 99%(외국산),정제소금,주정*소스 - 고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정], 설탕, 정제수, 멸치육수[멸치(국산),무(국산),멸치조미분말,다시마,후추분], 물엿, 대파(중국산), 고추분, 퇸장, 양조간장, 토마토페이스트, 마늘, 춘장, 정제소금, 양파맛분말, 후추분, 변성전분, L글루탐산나트륨(향미증진제), 산도조절제, 파프리카추출색소* 고명 - 건조부산어묵[냉동명태연육(미국산),파워타피오카(변성카사바전분:태국산)]",935,205,18,4.7
58,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2081,뚜기네 분식집 국물떡볶이,https://ottogi.co.kr/pds/product/2020-03-18_82503302[3].jpg,"*떡볶이떡 - 쌀가루99%(외국산),정제소금,주정*소스 - 정제수,설탕,고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정],멸치육수[멸치(국산),무(국산),멸치조미분말,다시마,후추분],고추분(중국산),토마토페이스트,마늘,양파퓨레,양조간장,정제소금,양파맛분말,후추분,변성전분,L-글루탐산나트륨(향미증진제),향미증진제,산도조절제,파프리카추출색소*고명 - 건조부산어묵[냉동명태연육(미국산),파워타피오카(변성카사바전분:태국산)]",890,195,17,4.4
59,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2082,뚜기네 분식집 라볶이,https://ottogi.co.kr/pds/product/2020-03-18_82503302[5].jpg,"*라볶이떡 - 쌀가루99%(외국산),정제소금,주정*소스 - 설탕,정제수,멸치육수[멸치(국산),무(국산),멸치조미분말,다시마,후추분],물엿,고추분(중국산,베트남산),고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정],마늘,토마토페이스트,정제소금,양파퓨레,양조간장,양파맛분말,후추분,변성전분,L-글루탐산나트륨(향미증진제),향미증진제,산도조절제,파프리카추출색소*라면사리 - 소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),글루텐(프랑스산),정제소금,면류첨가알칼리제(산도조절제),난각분말,야채추출물,비타민B2,녹차풍미유* 고명 - 건조부산어묵[냉동명태연육(미국산),파워타피오카(변성카사바전분:태국산)]",1310,220,22,38
